-70.6567	348.2292	2760.4683
-74.1337	348.6699	2773.8246
-69.8954	348.1725	2755.0612
-75.6347	333.1235	2759.7555
-70.5907	313.1269	2733.2629
-75.6347	333.1235	2759.7555
-70.5907	313.1269	2733.2629
-70.5933	308.1578	2733.2939
-71.2807	305.3461	2735.9201
-71.2847	297.8851	2735.9667
-70.6010	293.8712	2733.3829
-70.6039	288.2805	2733.4178
-70.6069	282.6897	2733.4527
-71.2943	279.8532	2736.0794
-71.3676	275.1494	2738.8230
-70.6827	271.7749	2736.2300
-65.1736	268.8149	2712.8450
-52.3288	234.4805	2592.3773
-50.4368	228.5506	2585.4022
-50.4374	227.3753	2585.4091
-50.5810	224.4759	2592.7135
-50.5832	219.7615	2592.7414
-51.7070	211.8944	2590.1698
-51.6601	208.7559	2587.7592
-51.6626	203.4618	2587.7906
-51.6637	201.1089	2587.8045
-51.1783	197.3627	2592.7819
-69.6196	184.5044	2670.4874
-73.6178	-18.1185	2726.7792
-73.6181	-18.7386	2726.7833
-73.6201	-23.0797	2726.8117
-74.3194	-49.1744	2729.5779
-74.6166	-55.5976	2740.4528
-74.3194	-49.1744	2729.5779
-74.3208	-52.2786	2729.5983
-74.5425	-54.9211	2737.7323
-74.6198	-62.4538	2740.4982
-75.3133	-66.8810	2743.1485
-74.6233	-69.9336	2740.5478
-75.2447	-79.9058	2740.5135
-75.2456	-81.7758	2740.5260
-75.3225	-86.8473	2743.2812
-75.2516	-94.8665	2740.6130
-75.2545	-101.1004	2740.6545
-75.2567	-106.0877	2740.6878
-76.0264	-111.2907	2746.0705
-75.9533	-116.1742	2743.3762
-75.2632	-120.4268	2740.7835
-75.2638	-121.6737	2740.7918
-75.9601	-131.1519	2743.4765
-75.9620	-135.5205	2743.5058
-75.9637	-139.2652	2743.5309
-76.5837	-144.8799	2743.4679
-75.8957	-155.3406	2740.9170
-76.5904	-159.8593	2743.5687
-76.5929	-165.4768	2743.6065
-75.9028	-171.5535	2741.0261
-75.9034	-172.8007	2741.0345
-77.2960	-186.2551	2746.3732
-77.2977	-190.0042	2746.3986
-76.5274	-189.0116	2741.0434
-76.5341	-204.6031	2741.1488
-77.2278	-205.4245	2743.7758
-76.5363	-209.5926	2741.1826
-77.3082	-214.3749	2746.5639
-77.2337	-219.1592	2743.8690
-77.1607	-227.0528	2741.2005
-77.1609	-227.6765	2741.2048
-77.2398	-233.5192	2743.9667
-77.9386	-243.1192	2746.6588
-77.9428	-253.1195	2746.7271
-77.9449	-258.1198	2746.7613
-77.9470	-263.1202	2746.7955
-77.9480	-265.6205	2746.8126
-77.9509	-272.4963	2746.8597
-77.8775	-281.5961	2744.1944
-78.5740	-284.3683	2746.8403
-78.5758	-288.7441	2746.8704
-78.5773	-292.4949	2746.8962
-78.5788	-296.2458	2746.9219
-78.5816	-303.1225	2746.9692
-79.2016	-307.4932	2746.8985
-79.2826	-313.4280	2749.6725
-79.2054	-316.8710	2746.9631
-79.2069	-320.6222	2746.9890
-79.2097	-327.4997	2747.0365
-79.2901	-332.2030	2749.8022
-79.9912	-339.4156	2752.4896
-79.2127	-335.0026	2747.0883
-79.2184	-349.3839	2747.1879
-79.8378	-352.5041	2747.1086
-79.9191	-357.8585	2749.8790
-79.9218	-364.7438	2749.9269
-79.8437	-367.5117	2747.2128
-79.8442	-368.7624	2747.2215
-79.9243	-371.0034	2749.9704
-80.5477	-382.8902	2749.9521
-80.4716	-392.5198	2747.2859
-81.1742	-402.9157	2749.9908
-81.1759	-407.2981	2750.0214
-81.8784	-413.9590	2752.7055
-81.1797	-417.3152	2750.0915
-81.1802	-418.5674	2750.1003
-81.8834	-427.1197	2752.7978
-81.8858	-433.3871	2752.8418
-82.6711	-438.0035	2758.2666
-81.8086	-444.2307	2750.1792
-81.8088	-444.8569	2750.1836
-82.5946	-453.2558	2755.6245
-82.5969	-459.5300	2755.6687
-83.2192	-465.7959	2755.6115
-82.4375	-471.7750	2750.2719
